Keyword,Country code,Location,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
nomme kalju fc,ZA,South Africa,Nõmme Kalju FC (Organization),"Knowledge panel, People also ask, Video preview",7100,17,,0,0,38,https://www.betway.co.za/sport/soccer/est/esiliiga/nomme_jk_kalju-v-jk_nomme_united/0?datefilter=202509221615&eventId=a0174086-0101-41ef-849a-c5047ec12096,,2025-09-23 1:58:14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
girona fc games,ZA,South Africa,Girona FC (Organization),"Knowledge panel, Video preview",6700,53,,0,0,71,https://www.betway.co.za/sport/soccer/esp/la_liga/girona_fc-v-levante_ud/0?datefilter=202509201400&eventId=67e4cba8-cbd5-4598-b55e-7007e853a501,,2025-09-21 9:27:14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
eerste divisie games,ZA,South Africa,Eerste Divisie (Event),"Sitelinks, Knowledge panel, Video preview",6600,16,,0,0,58,https://www.betway.co.za/sport/soccer/netherlands/eerste_divisie/willem_ii_tilburg-v-ajax_amsterdam/0?inplay=true&datefilter=202509192000&eventId=147dab32-64d1-44bd-871b-5cd8293ba5b9,,2025-09-21 16:35:25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
vodapay app download,ZA,South Africa,VodaPay app (Product),"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",6400,13,0.04,0,0,58,https://www.betway.co.za/sport/soccer/fin/kolmonen/fc_kiisto-v-ff_jaro_akademia/0?datefilter=202507311800&eventId=ce7dbeeb-0c8e-4d25-96cc-e36b7fc81a39,,2025-07-31 3:59:58,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
national first division games,ZA,South Africa,National First Division (Event),"Knowledge panel, Sitelinks, Video preview, Thumbnail",6300,13,,0,0,51,https://www.betway.co.za/sport,,2025-09-21 20:48:09,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
orbit college fc standings,ZA,South Africa,Orbit College FC (Organization),"Knowledge panel, Thumbnail, Video preview",5700,0,,0,0,70,https://www.betway.co.za/sport,,2025-09-22 23:42:12,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ozow,ZA,South Africa,Ozow (Organization),"Sitelinks, People also ask, Knowledge panel, Video preview",5300,0,0.5,0,0,51,https://www.betway.co.za/sport/soccer/clubs/caf_champions_league/asc_kara-v-rsb_berkane/0?datefilter=202509211700&eventId=961f249f-0dc8-46d0-afc0-ea9d6008efc5,,2025-09-22 13:50:17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
install lottostar app,ZA,South Africa,Lottostar app (Product),"Sitelinks, People also ask",5300,50,0.38,0,0,37,https://www.betway.co.za/luckynumbers,,2025-09-08 14:46:06,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
soccer13,ZA,South Africa,Soccer 13 (Event),"Sitelinks, Video preview",5200,62,0.31,0,0,23,https://www.betway.co.za/sport,,2025-09-23 2:18:34,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
olympique lyon games,ZA,South Africa,Olympique Lyonnais (Organization),"Knowledge panel, Video preview",4500,26,,0,0,50,https://www.betway.co.za/sport/soccer/fra/ligue_1/olympique_lyon-v-angers_sco/0,,2025-09-21 16:15:17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
free spins no deposit win real money,ZA,South Africa,,Video preview,4400,82,0.33,0,0,54,https://www.betway.co.za/latestpromos,,2025-09-08 14:48:44,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
h0llywood bets login,ZA,South Africa,Hollywoodbets (Organization),"Sitelinks, Video preview",4400,68,0.01,0,0,39,https://www.betway.co.za/account/loginform,,2025-07-31 7:04:16,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
www.deal or no deal.co.za,ZA,South Africa,Deal or No Deal South Africa (Event),"Sitelinks, People also ask, Video preview",4200,44,0.07,0,0,81,https://www.betway.co.za/blog/june-2021/live-casino-games-deal-or-no-deal,,2025-09-09 0:27:07,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood app download south africa,ZA,South Africa,"Hollywoodbets App (Product), South Africa (Location)","Sitelinks, People also ask, Video preview",4200,38,0.11,9,0,21,https://www.betway.co.za/account/loginform,,2025-09-08 14:41:06,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
25 free spins on registration no deposit south africa,ZA,South Africa,South Africa (Location),Sitelinks,4100,61,0.32,0,0,68,https://www.betway.co.za/lobby/casino-games/slots,,2025-09-14 15:01:23,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
ethiopian premier league games,ZA,South Africa,Ethiopian Premier League (Event),"Sitelinks, Knowledge panel, Thumbnail, Video preview",4100,23,,0,0,83,https://www.betway.co.za/sport,,2025-09-21 21:23:21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
power balls results for yesterday,ZA,South Africa,Powerball (Event),"Knowledge card, Sitelinks, Video preview",4000,65,,0,0,57,https://www.betway.co.za/luckynumbers,,2025-08-30 18:08:51,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
49 win,ZA,South Africa,UK 49s (Event),Video preview,3900,66,0.15,8,0,21,https://www.betway.co.za/luckynumbers,,2025-09-23 1:00:40,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
teatime hot numbers for today,ZA,South Africa,Teatime (Event),"Sitelinks, Video preview",3600,40,,0,0,48,https://www.betway.co.za/luckynumbers,,2025-09-08 14:42:06,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
hollywoodbets account login,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Video preview",3400,65,0.15,0,0,37,https://www.betway.co.za/,,2025-09-23 2:44:52,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
nb i games,ZA,South Africa,NB I (Event),"Sitelinks, Knowledge panel, Video preview",3300,25,,0,0,49,https://www.betway.co.za/,,2025-09-22 18:29:55,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
uk49teatime results for today,ZA,South Africa,UK49s Teatime (Event),"Sitelinks, Video preview",3300,66,,0,0,63,https://www.betway.co.za/luckynumbers,,2025-09-08 14:45:10,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
uk live draw,ZA,South Africa,UK (Location),"Video preview, Thumbnail",3200,69,,0,0,48,https://www.betway.co.za/luckynumbers,,2025-09-23 4:14:45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dundalk f.c. standings,ZA,South Africa,Dundalk F.C. (Organization),"Knowledge panel, Thumbnail, Video preview",3100,0,,0,0,79,https://www.betway.co.za/event/inplay,,2025-09-21 0:35:05,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
install hollywoodbets app login,ZA,South Africa,Hollywoodbets app (Product),"Sitelinks, People also ask, Video preview",3000,52,0.08,3,0,25,https://www.betway.co.za/Betway-App,,2025-09-08 14:48:05,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
sign up bonus no deposit,ZA,South Africa,,"Bottom ads, Paid sitelinks",2900,73,0.39,4,0,23,https://www.betway.co.za/latestpromos,,2025-09-08 14:42:19,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
celbux login,ZA,South Africa,Celbux (Organization),"People also ask, Sitelinks, Video preview",2900,0,0.02,0,0,49,https://www.betway.co.za/sport/soccer/germany/bundesliga/bayer_leverkusen-v-eintracht_frankfurt/0?datefilter=202509122030&eventId=cb637faf-053e-4fea-9c62-e3b6f500ee41,,2025-09-12 6:12:12,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
r0.00,ZA,South Africa,,"People also ask, Video preview",2800,0,0.01,1,0,26,https://www.betway.co.za/lobby/betgames,,2025-09-08 15:37:03,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
tymebank app login,ZA,South Africa,TymeBank app (Product),"AI Overview, People also ask, Sitelinks, Video preview",2700,24,0.04,0,0,57,https://www.betway.co.za/Account/LoginConfirmation,,2025-09-11 19:45:48,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
championnat national games,ZA,South Africa,Championnat National (Event),"Knowledge panel, Sitelinks, Video preview",2600,2,,0,0,44,https://www.betway.co.za/sport,,2025-09-16 8:42:31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
liga f games,ZA,South Africa,Liga F (Event),"Sitelinks, Knowledge panel, Thumbnail, Video preview",2500,16,,0,0,62,https://www.betway.co.za/sport,,2025-09-12 15:54:38,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
eliteserien games,ZA,South Africa,Eliteserien (Event),"Knowledge panel, Sitelinks, Video preview",2500,62,,0,0,74,https://www.betway.co.za/sport/soccer/nor/eliteserien/sarpsborg-v-viking_fk/0?datefilter=202509271800&eventId=ab1a6e28-2a6c-477c-afaa-81b0b9397a0e,,2025-09-22 7:05:04,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
molde fk games,ZA,South Africa,Molde FK (Organization),"Knowledge panel, People also ask, Video preview",2500,48,,0,0,47,https://www.betway.co.za/sport/soccer/nor/eliteserien/molde_fk-v-fredrikstad_fk/0?datefilter=202509131600&eventId=15823308-1ec5-4c56-85cb-305d29096b88,,2025-09-09 0:03:56,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
tyme bank contact details,ZA,South Africa,TymeBank (Organization),"Featured snippet, People also ask",2400,22,0.06,0,0,95,https://www.betway.co.za/Account/LoginConfirmation,,2025-08-30 12:03:48,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
tymebank ussd code,ZA,South Africa,TymeBank (Organization),"AI Overview, Thumbnail, People also ask, Video preview",2400,4,0.06,0,0,61,https://www.betway.co.za/Account/LoginConfirmation,,2025-08-24 17:48:36,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
fc basel games,ZA,South Africa,FC Basel (Organization),"Knowledge panel, Video preview",2300,26,,0,0,66,https://www.betway.co.za/,,2025-08-29 14:27:48,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
tymebank lost cell phone number,ZA,South Africa,TymeBank (Organization),"Featured snippet, People also ask, Sitelinks",2200,1,0.02,0,0,56,https://www.betway.co.za/Account/ManagePassword,,2025-09-06 1:20:21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
price old south african coins for cash,ZA,South Africa,,"People also ask, Sitelinks, Video preview",2200,1,0.02,0,0,96,https://www.betway.co.za/lobby/casino-games/slots,,2025-09-01 18:15:17,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
chrome hollywoodbets login,ZA,South Africa,"Hollywoodbets (Organization), Chrome (Product)","Sitelinks, People also ask",2100,63,0.21,6,0,20,https://www.betway.co.za/account/loginform,,2025-08-29 10:03:24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
polokwane city players,ZA,South Africa,Polokwane City (Organization),"Knowledge panel, People also ask, Thumbnail, Video preview",2100,0,,0,0,65,https://www.betway.co.za/sport/soccer/rsa/betway_premiership/polokwane_city-v-chippa_united/0,,2025-09-21 14:29:19,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
olympique lyon players,ZA,South Africa,Olympique Lyon (Organization),"Sitelinks, Knowledge panel, Video preview",2100,42,,0,0,70,https://www.betway.co.za/sport/soccer/fra/ligue_1/olympique_lyon-v-angers_sco/0?datefilter=202509192045&eventId=6e61e67f-dcea-4949-a285-ad6566936213,,2025-09-19 15:29:33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
powerball lotto results,ZA,South Africa,Powerball (Event),"Sitelinks, Thumbnail, Video preview",2000,70,0.03,0,0,100,https://www.betway.co.za/luckynumbers,,2025-09-23 3:19:41,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hungary nb 1 table,ZA,South Africa,"NB I (Event), Hungary (Location)","Sitelinks, Knowledge panel, Video preview",2000,18,,0,0,55,https://www.betway.co.za/sport,,2025-09-13 16:13:36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
aj auxerre games,ZA,South Africa,AJ Auxerre (Organization),"People also ask, Video preview",2000,0,,0,0,69,https://new.betway.co.za/responsible-gaming,,2025-09-18 14:27:03,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lunchtime extreme results,ZA,South Africa,,"Sitelinks, People also ask, Video preview",1900,73,,0,0,56,https://www.betway.co.za/luckynumbers,,2025-09-11 23:52:51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
hollywood login in password hollywoodbets.net login download,ZA,South Africa,,"Sitelinks, People also ask",1900,50,0.19,3,0,23,https://www.betway.co.za/account/loginform,,2025-09-08 14:42:42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
nk celje games,ZA,South Africa,NK Celje (Organization),"Knowledge panel, People also ask, Video preview",1900,17,,0,0,53,https://www.betway.co.za/sport/soccer/svn/prvaliga/nk_primorje-v-nk_celje/0?inplay=true&datefilter=202509212015&eventId=2d529aff-5c5d-4d80-afb2-d78ddc6764d3,,2025-09-22 23:36:20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hot hot fruits demo,ZA,South Africa,Hot Hot Fruit (Product),"Sitelinks, Thumbnail, Video preview",1900,69,0.27,1,0,30,https://www.betway.co.za/lobby/casino-games/slots,,2025-09-23 3:21:16,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
tymebank open account,ZA,South Africa,TymeBank (Organization),"People also ask, Video preview",1900,8,0.55,0,0,76,https://www.betway.co.za/Account/LoginConfirmation,,2025-09-01 5:04:31,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
south africa match today,ZA,South Africa,South Africa (Location),"Sitelinks, Video preview",1800,45,0.01,0,0,34,https://www.betway.co.za/Event/LiveSport,,2025-09-01 13:22:55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
betting sites with sign up bonus,ZA,South Africa,,"People also ask, Sitelinks",1800,77,0.42,2,0,23,https://www.betway.co.za/,,2025-09-01 4:51:54,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
tymebank ussd,ZA,South Africa,TymeBank (Organization),"AI Overview, Thumbnail, People also ask, Video preview",1800,2,0.08,0,0,45,https://www.betway.co.za/Account/MyAccount,,2025-09-08 14:44:10,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
unisa banking details,ZA,South Africa,Unisa (Organization),"People also ask, AI Overview, Video preview, Sitelinks",1800,0,0.04,0,0,78,https://www.betway.co.za/Account/LoginConfirmation,,2025-09-11 2:42:34,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
sassa registration for r350,ZA,South Africa,"SASSA R350 Registration (Event), R350 (Event)","Sitelinks, People also ask, Video preview",1800,12,0.01,0,0,65,https://www.betway.co.za/account/loginform,,2025-08-31 22:04:56,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
hollywood bat,ZA,South Africa,Hollywoodbets (Organization),"Sitelinks, Video preview",1800,67,0.13,5,0,20,https://www.betway.co.za/account/loginform,,2025-08-26 20:45:44,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
download moya app,ZA,South Africa,Moya App (Product),"Top ads, Video preview, Bottom ads, Paid sitelinks",1700,2,0.01,0,0,57,https://www.betway.co.za/lobby/Betway-App,,2025-09-01 1:52:58,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
over 1.5,ZA,South Africa,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview",1700,49,1.95,0,0,83,https://www.betway.co.za/sport/soccer/jpn/j.league/fc_tokyo-v-kyoto_sanga_fc/0?datefilter=202508241200&eventId=0df4b8a6-706c-48d2-8415-8eb7c66d5e97,,2025-08-24 12:09:43,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
easybet register online login,ZA,South Africa,Easybet (Organization),"Top ads, Sitelinks, People also ask, Bottom ads",1700,59,0.18,0,0,32,https://www.betway.co.za/account/loginform,,2025-09-14 16:15:04,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
shoprite eerste river,ZA,South Africa,"Shoprite Eerste River (Location), Eerste River (Location)","People also ask, Video preview",1700,3,0.01,0,0,86,https://www.betway.co.za/sport/soccer/netherlands/eerste_divisie/fc_dordrecht-v-jong_az_alkmaar/0?datefilter=202509152000&eventId=54239250-16ac-4d8e-90e6-6e90088a1ed7,,2025-09-15 11:12:11,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
games download free play store,ZA,South Africa,Google Play Store (Organization),"Top ads, People also ask, Sitelinks, Video preview, Bottom ads, Paid sitelinks",1600,72,0.05,0,0,42,https://www.betway.co.za/Betway-App,,2025-09-08 17:26:52,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
how to check balance on tymebank,ZA,South Africa,TymeBank (Organization),"AI Overview, Thumbnail, People also ask, Video preview, Sitelinks",1600,11,0.1,0,0,82,https://www.betway.co.za/Account/MyAccount,,2025-09-06 4:06:27,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywoodbets fica whatsapp number,ZA,South Africa,Hollywoodbets (Organization),"Featured snippet, People also ask, Sitelinks",1500,42,0.3,3,0,23,https://www.betway.co.za/how-to-fica,,2025-09-08 1:05:01,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
zimbabwe premier soccer league games,ZA,South Africa,Zimbabwe Premier Soccer League (Event),"Knowledge panel, Thumbnail, Video preview",1500,0,,0,0,85,https://www.betway.co.za/sport,,2025-09-21 16:50:57,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
jong psv games,ZA,South Africa,Jong PSV (Organization),"Knowledge panel, Video preview",1500,0,,0,0,57,https://www.betway.co.za/sport/soccer/netherlands/eerste_divisie/almere_city_fc-v-psv_eindhoven/0?datefilter=202509122000&eventId=b55da2c4-0aab-48b1-900e-c1a1a43d1299,,2025-09-15 7:26:25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
turffontein racecourse,ZA,South Africa,Turffontein Racecourse (Location),"Thumbnail, Knowledge panel, Sitelinks, People also ask, Video preview",1500,2,0.18,0,0,46,https://www.betway.co.za/Horseracing,,2025-09-16 1:43:32,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
uk49s predictions bonus for today lunchtime,ZA,South Africa,UK49s (Event),"Sitelinks, People also ask, Video preview",1500,46,0.03,1,0,25,https://www.betway.co.za/luckynumbers,,2025-09-09 3:02:33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
sk sturm graz games,ZA,South Africa,SK Sturm Graz (Organization),"Knowledge panel, Video preview",1400,32,,0,0,42,https://www.betway.co.za/sport/soccer/aut/bundesliga/sk_sturm_graz-v-tsv_hartberg/0?datefilter=202509281430&eventId=ca7a5274-fe91-41bf-b141-51e758172906,,2025-09-23 2:50:37,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
mtn call back code,ZA,South Africa,MTN (Organization),"AI Overview, Thumbnail, People also ask, Video preview",1400,0,0.02,0,0,94,https://www.betway.co.za/contactpage,,2025-08-31 18:14:49,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
tymebank login balance,ZA,South Africa,TymeBank (Organization),"AI Overview, Thumbnail, People also ask, Video preview",1400,9,0.06,0,0,35,https://www.betway.co.za/Account/LoginConfirmation,,2025-09-01 5:15:41,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
bolt app login,ZA,South Africa,Bolt app (Product),"People also ask, Video preview",1400,3,0.15,0,0,42,https://www.betway.co.za/,,2025-09-23 3:12:15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
yesplay free spins,ZA,South Africa,YesPlay (Organization),People also ask,1400,62,0.04,1,0,27,https://www.betway.co.za/lobby/casino-games,,2025-08-21 7:06:24,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
matches today soccer,ZA,South Africa,,"People also ask, Sitelinks, Video preview",1400,79,,1,0,24,https://www.betway.co.za/Event/LiveSport,,2025-08-31 7:28:44,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
udinese calcio,ZA,South Africa,Udinese Calcio (Organization),"Sitelinks, Knowledge panel, Top stories, Thumbnail, Videos, Video preview",1400,67,,0,0,62,https://www.betway.co.za/sport/soccer/ita/coppa_italia/udinese_calcio-v-palermo/0?datefilter=202509231830&eventId=6371460f-c2ba-4d53-a7d0-84787f6d8849,,2025-09-23 3:10:46,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
casino scores monopoly,ZA,South Africa,"casino scores (Organization), MONOPOLY (Product)","Sitelinks, Video preview",1400,87,2.06,0,0,40,https://www.betway.co.za/lobby/casino%20games,,2025-09-11 2:43:39,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
r50 sign up bonus south africa,ZA,South Africa,South Africa (Location),Video preview,1300,61,,0,0,56,https://www.betway.co.za/latestpromos,,2025-08-31 14:59:13,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
srd change banking details to tymebank,ZA,South Africa,"TymeBank (Organization), SASSA SRD grant (Event)","AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1300,0,0.04,0,0,61,https://www.betway.co.za/account/loginform,,2025-08-26 3:42:33,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
hollywoodbets app install,ZA,South Africa,Hollywoodbets app (Product),"Sitelinks, People also ask, Video preview",1300,43,0.27,0,0,39,https://www.betway.co.za/Betway-App,,2025-09-10 4:36:19,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
france lotto results for yesterday evening,ZA,South Africa,France Lotto (Event),"Sitelinks, Video preview",1300,74,,0,0,50,https://www.betway.co.za/luckynumbers,,2025-09-15 4:24:56,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
greece power ball,ZA,South Africa,"Greece Powerball (Event), Greece (Location)",Video preview,1300,48,0.01,0,0,39,https://www.betway.co.za/luckynumbers,,2025-09-23 4:45:25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
us lecce v ac milan,ZA,South Africa,"US Lecce (Organization), AC Milan (Organization)","Top stories, Thumbnail, Video preview",1300,0,,0,0,36,https://www.betway.co.za/sport/soccer/ita/coppa_italia/ac_milan-v-us_lecce/0?datefilter=202509232100&eventId=8b89addc-ff8a-4bfa-a5f4-2b95948a45f3,,2025-09-23 2:42:34,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood data free download,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Video preview",1300,50,,0,0,31,https://www.betway.co.za/account/loginform,,2025-09-07 14:45:30,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
vejle bk standings,ZA,South Africa,Vejle Boldklub (Organization),"Knowledge panel, People also ask, Sitelinks",1200,46,,0,0,61,https://new.betway.co.za/livescores,,2025-09-19 9:09:45,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
